rating,text,title,time,username
5,"Lightweight and strong. I got this to replace a cracked 1970s model which had come with our house. This is significantly lighter, because it's all plastic, but it doesn't appear to be any less strong. It's easy to transport where needed. I was initially surprised when I stepped on it that the seat/top step wasn't snapped into place - you have to push down until it clicks. Once it's clicked into its locked position, it's nice and sturdy. It has wide feet for sturdiness and the handle is useful for climbing or carrying. Recommended.",Lightweight and strong. I got this to replace a cracked 1970s model which had come with our hous...,2020-01-26T18:22:19.000+00:00,burroakbadger
5,"Gorilla Ladders 2-Step PRO-Grade Steel Step Stool, 300 lbs. Load Capacity Type IA Duty Rating

A great overall step ladder; excellent for kitchen use which is exactly why I ordered it. It arrived safely, although not in a box, but in a plastic bag, which was torn upon receiving, but no damage occurred.

The ladder is made of steel, and has rubber feet, adorned in yellow, for safety notice, and it has a shelf on it that is made of resin. The shelf will hold items in its pan. The steps are wide and broad, which allow sure footings. The steps are reinforced on the sides, and through the linkage. The back is also braced. Total height allows an estimated 8' 1"" reach. Excellent for kitchens and laundry rooms, garages, or other places where low reach is needed beyond normal reach.

I'm very happy with the ladder. Well made. Easily stored. Great colors. Awesome!

I recommend this item. I rate this item 5*s out of 5.

Thank you Gorilla for allowing me to try your product.

Thank you Home Depot Seeds for offering this item.","Gorilla Ladders 2-Step PRO-Grade Steel Step Stool, 300 lbs. Load Capacity Type IA Duty Rating A g...",2020-01-23T22:11:07.000+00:00,TexasLevi
5,"I ordered this only to have a stepladder in the storage space beside the house and ended up tossing out the other stepladders!
Gorilla is a great brand. I use a number of their products, but wasn't really thinking about that when I put in the order for this stepladder. I simply wanted to have a ladder handy in the storage space where the water heater lives. We keep a lot of the household maintenance items there...paint, bulbs, etc. on shelves that go up to the roof. I was tired of fetching the stepladder from the wood shed or the one from inside whenever I needed to replace a bulb or an electrical socket. 
When this arrived, I knew right away it would be my favorite step ladder. You wouldn't think such a thing as ""favorite"" applies to step stools, but it can happen when you get a Gorilla!
It's totally safe. The materials and the bolts holding it together provide a solid perch that does not wobble one bit. A hand lever must be engaged to open or close the ladder, which automatically locks into the open position. The steps are wide and, because they are heavy duty plastic, are never slippery like the metal step stool we kept in the laundry area. 
The thing that really won me over is the tool bucket. It's a small space, to be sure, but it fits all kinds of tools. The top edge has holes that fit a nice selection of screwdrivers, marking pencils, and even a slot for the clip on a measuring tape or other slim tool. 
So much better than I had anticipated from a simple step ladder! Great job, Gorilla brand!",I ordered this only to have a stepladder in the storage space beside the house and ended up tossi...,2020-01-23T22:09:26.000+00:00,Laine
5,This 2 step ladder lives up to it's Gorilla name. It is very well built and very sturdy. I am a large man so I like it's 300 lb. capacity. The frame is strong tubular steel and the joints are secured with metal rivets. The reinforced extra wide steps and oversize feet allow me to feel balanced and comfortable even when reaching up to 8 feet high. It also has a raised tool tray which is very useful and I can also lean against it when on the top step. It has a lever for easy opening and closing and the closed storage depth is less than 4 inches. I now have 2 Gorilla ladders and I highly recommend them.,This 2 step ladder lives up to it's Gorilla name. It is very well built and very sturdy. I am a l...,2020-01-23T15:42:42.000+00:00,VernDelray
5,"Very solid and well-designed step stool for DIYers or pros. I keep this in the house for fixing lights, fans, painting and any sort of project where I need some extra height. Construction is very solid, it doesn't shift, is wide (2 feet) and hard to tip over. The steps have a great grip and the top step is nice and large. The project top is very convenient. Instead of putting tools in my pocket or mouth, I can place them in the little storage container. When I am not using it, the stool collapses for convenient storage. A simple button/latch opens/closes the step stool. 

Reach height is a comfortable 8' 1"" which is perfect for my 8 ft ceilings. The height to the first step is 9"", second step/platform is 19"". Collapsed depth (width) is 2.5"". Feet are nice with sturdy rubber grips. The only slight downside to this step stool is it is a little heavy, coming in just over 12 lbs. Made in China.",Very solid and well-designed step stool for DIYers or pros. I keep this in the house for fixing l...,2020-01-22T20:21:39.000+00:00,SteveVA
5,"Gorilla 2-step Steel Ladder 

This is a very well constructed ladder. I needed a smaller ladder to reach into kitchen cabinets that go to the ceiling, reaching the top shelf was not possible. I also wanted one that was easy to store, the storage depth on this ladder is only 3.8 inches, which is perfect for the closet I want to store it in. It’s very easy to unfold (I’ve had some that weren’t so easy), it has larger feet making it more stable and also the material the feet are made of make them very safe for all floor types. The steps are wider than a lot of the ladders out there. On the top of it there is a small area where you could hold small tools/screws or whatever, very convenient if you have a small repair. It has a 300lb load capacity and come with a Limited Lifetime Warranty. I would highly recommend this ladder.",,2020-01-22T17:33:50.000+00:00,Cm
5,Excellent  product,Excellent  product,2019-12-11T23:26:13.000+00:00,Eddie
5,"We were pleased to find a step stool that fit all our needs. Previously we have been using a step stool that was wobbly and felt not terribly safe. Extremely satisfied with all features of this gorilla step ladder.
Exactly what we needed at a very reasonable price. A great purchase.",We were pleased to find a step stool that fit all our needs. Previously we have been using a step...,2019-11-26T13:02:35.000+00:00,
5,"I purchased this step stool because I did not want to collect disability for the rest of my life by using the cheap little 200lb rated 2 stepper I had at home. I have been up and down this stool on all 3 steps and it feels extremely solid with no swaying or shaking, no bending steps when you step on them, and no rattling. My balance is great with the extra large steps. I weigh 240lbs and I feel completely safe on this step stool. I don't need my wife standing next to me and handing me light bulbs or holding screws or screwdrivers for me anymore because of the little built in tray. I was always worried about my last stepper breaking on me and slipping my vertebrae in every direction or breaking my hip when I fell, but I don't worry one bit anymore with this Gorilla 3 stepper. So glad I purchased it, I have complete peace of mind now when I have to step up for a job around the house, it's like walking up a staircase. If I could change one thing about this stepper it would be to have a metal skeleton on the underside of each step especially where the screws/bolts fit in, but don't let this sway you from purchasing this step stool because I would purchase it again just as it is. Look at the picture of me (240lbs) on the top step, solid as a rock. This is an EXCELLENT and SAFE step stool at an unbelievable low price.",I purchased this step stool because I did not want to collect disability for the rest of my life ...,2018-12-13T00:24:20.000+00:00,JP
5,I love my Gorilla Ladders. But I miss an another platform to put my gallon of paint while I am working on the handle. But it is a very good ladder for a woman who lives alone.,I love my Gorilla Ladders. But I miss an another platform to put my gallon of paint while I am wo...,2018-02-18T16:30:43.000+00:00,Loulou
5,"This is a terrific 3-step steel stool! It's sturdy, with a wide work platform, non-slip rubber steps and feet, built-in tool tray and nice secure snap latch. A very nice safety feature is the neon yellow stripe on the edge of each step. I found the yellow stripe very helpful in a low-lit basement to find the ladder. However, once on the ladder I couldn't see the neon yellow but it's a great idea. It holds up to 300 lbs and feels very sturdy. It's a tremendous value for the added functionality of a platform-like step stool. I use this ladder for painting, sheetrock, handing pictures, casement,... and I love the platform area. This ladder would be even more amazing if it had a magnetic feature in the tool tray to hold fasteners and/or metal tools. It folds up nicely for storage into approximately a 4"" width. Overall, a terrific step stool and a tremendous value!","This is a terrific 3-step steel stool! It's sturdy, with a wide work platform, non-slip rubber st...",2017-11-14T16:01:44.000+00:00,ApartmentOwner
5,"This is a great step stool for around the house. Its big/tall enough for most any minor job, yet compact and light enough to store and move around easy. There are 3 good-sized steps with the top now being extra big - more of a small platform, which is nice working from. You can actually move around a little bit safely. It has a 300 lbs capacity and my 185 lbs felt very stable. The beam on top has a descent size tray for holding stuff. There is an easy to use handle that locks the stool open and unlocks it when you pull it. The feet have thick rubber covers so it doesn't slide and won't scratch or mark you floors. It folds up nice and slim to easily fit in a closet or it can be hung up. Its also light enough to carry around the house with out any trouble. This will definitely replace a smaller one I had and I will use this a lot more then the larger heavier one I have.","This is a great step stool for around the house. Its big/tall enough for most any minor job, yet ...",2017-11-04T20:19:32.000+00:00,UTbadger
5,"This 3 step steel step stool with 300 pound load capacity is perfect for all those projects around the home where you need good footing above the floor. Great for washing walls and ceilings. It is strong, and sturdy. I feel very confident standing on each extra wide and deep step, it is a solid feeling just like standing on the floor. The handy tray on the top rail is great, no holes for small screws and nails to fall through, and it has holes along the edge for tools. It also has a snap latch to prevent it opening while moving to different locations.",This 3 step steel step stool with 300 pound load capacity is perfect for all those projects aroun...,2017-11-01T18:23:50.000+00:00,Dale
4,"Easy to move around, seems pretty durable. I wish it had more holding space on the handle part, but aside from that it gets the job done.","Easy to move around, seems pretty durable. I wish it had more holding space on the handle part, b...",2020-06-23T22:28:48.000+00:00,Lambielynn
3,My ladder had stuff marks all over it. I would not recommend,stuffed,2020-07-12T17:21:40.000+00:00,EWChi
3,"I like this ladder. I've had it for a month. It is a little bulky and heavier than I though, but it does what I needed it for. I should have bought a smaller one. But, being small myself, it works.","I like this ladder. I've had it for a month. It is a little bulky and heavier than I though, but ...",2019-06-18T21:52:22.000+00:00,Caligirl
3,Nice steps but be prepared to waste half an hour peeling off the remnants of the product label. Some brainiac must have decided to use Gorilla glue to stick it on.,Nice steps but be prepared to waste half an hour peeling off the remnants of the product label. S...,2017-12-10T22:50:36.000+00:00,adman
2,"I liked this step stool when I ordered it. I didn't know that the steel frame would be allot heavier than I expected. I have a bad back, neck & shoulder which makes it to heavy to carry. I will be returning.",I liked this step stool when I ordered it. I didn't know that the steel frame would be allot heav...,2020-04-15T22:16:17.000+00:00,Artist
1,"Weighting 109, on the 3rd step the ladder opens completely from the lock position, making fall forward, naturally to protect my head and face I landed on my left side. Injured my shoulder Rotator cuff.",Ladder opens in a dangerous position,2023-05-16T14:52:43.000+00:00,Pain1
1,"I'm 250 lbs so decided to get the heavy duty ladder.  Had it for just  over a yeah and have used it for painting 4 houses  and doing interior drywall and electrical.  The lower bracket cracked on me before it was a year old but just made it slightly wobble so still used.  Now the upper bracket broke completely off.   Paid more for the heavy duty one and broke on me! I always kept it stored indoors and used it part time at most, averaged probably a week out of every ninth using it, very disappointed!!!",Broke on me...,2020-09-26T20:41:58.000+00:00,JS
5,"This ladder is so handy and very sturdy. I have very tall kitchen cabinets and it really comes in handy sometimes, plus it is narrow enough to stash behind a door. It is relatively light to carry too! I am very happy with this purchase and would highly recommend it.",This ladder is so handy and very sturdy. I have very tall kitchen cabinets and it really comes in...,2020-06-10T00:41:22.000+00:00,Anonymous
5,"We were pleased to find a step stool that fit all our needs. Previously we have been using a step stool that was wobbly and felt not terribly safe. Extremely satisfied with all features of this gorilla step ladder.
Exactly what we needed at a very reasonable price. A great purchase.",We were pleased to find a step stool that fit all our needs. Previously we have been using a step...,2019-11-26T13:02:35.000+00:00,Anonymous
5,It’s great and thinner then I was expecting.,,2023-08-23T22:10:43.000+00:00,HomeDepotCustomer
5,"Feel very confident on this ladder, very steady, wide steps",,2023-08-23T19:29:56.000+00:00,PEGGY
5,"Very sturdy, light weight ladder, and I feel it was very reasonably priced. Pleased with the product.",,2023-08-23T18:30:03.000+00:00,STAN
5,Having arthritis I did not feel safe on my old stepstool. The gorilla step stool is very sturdy and I don't feel unsafe using it.,,2023-08-23T17:05:04.000+00:00,CAREY
5,Very Solid and tight. You feel safe stepping on it.,,2023-08-23T14:45:54.000+00:00,HomeDepotCustomer
4,"Sufficient,and steady ladder. The height was truly beneficial for what I need.",,2023-08-19T23:00:40.000+00:00,NA
5,Very sturdy with a very good load limit.  A bit heavier than the aluminum ladders.,,2023-08-17T01:39:23.000+00:00,HomeDepotCustomer
5,I have used it several times since my purchase. It a little heavy but its built like a tank. Great product.,,2023-08-17T01:02:04.000+00:00,Wirehand
4,"Really sturdy but also heavy. I use it with my jeep gladiator overlanding camping setup to access the rooftop tent. It has been used on dirt, gravel, pavement, and uneven terrain. It has a wide base that allows you to comfortably stand on the top platform/step. I wish it was lighter!",,2023-08-16T15:08:39.000+00:00,HomeDepotCustomer
